actors,number_of_movies,average_revenue,average_revenue (shifted)
Tim Roth,16,70590791.94,1129452671
Antonio Banderas,43,118085664.5,5077683575
Jennifer Beals,9,46357925,417221325
Madonna,14,71431837.43,1000045724
Marisa Tomei,18,146830338.5,2642946093
Bruce Willis,60,139293514.5,8357610868
Quentin Tarantino,12,101428662.4,1217143949
Sammi Davis,3,2307334,6922002
Amanda de Cadenet,1,4300000,4300000
Valeria Golino,8,103753351.1,830026809
Lili Taylor,13,117113619.7,1522477056
Lawrence Bender,3,76742920.67,230228762
Ione Skye,2,27375653.5,54751307
Alicia Witt,9,51193847.44,460744627
David Proval,10,27672134.8,276721348
Lana McKissack,1,4300000,4300000
Tamlyn Tomita,6,125635713.8,753814283
Kathy Griffin,7,158433670.1,1109035691
Paul Calderon,12,53351524.75,640218297
Salma Hayek,22,90631862,1993900964
Patricia Vonne,3,67480478.67,202441436
Danny Verduzco,1,4300000,4300000
Kimberly Blair,1,4300000,4300000
Marc Lawrence,6,55658671.17,333952027
Mark Hamill,10,442556099.5,4425560995
Harrison Ford,43,217703684,9361258410
Carrie Fisher,19,257931514.6,4900698778
Peter Cushing,2,397928173.5,795856347
Alec Guinness,10,419671303.2,4196713032
Anthony Daniels,11,727491795.1,8002409746
Kenny Baker,11,409075748.2,4499833230
Peter Mayhew,6,803453605.2,4820721631
David Prowse,4,478271751.8,1913087007
James Earl Jones,25,259021076.4,6475526910
Phil Brown,2,537808012.5,1075616025
Shelagh Fraser,1,775398007,775398007
Jack Purvis,5,387389342.2,1936946711
Eddie Byrne,2,394539003.5,789078007
Denis Lawson,3,628832669,1886498007
Garrick Hagon,5,288089020,1440445100
Don Henderson,4,199955282.5,799821130
Leslie Schofield,1,775398007,775398007
Richard LeParmentier,4,370790167.8,1483160671
Michael Leader,1,775398007,775398007
Alex McCrindle,2,388449003.5,776898007
Drewe Henley,2,915727640,1831455280
Jack Klaff,2,485355404.5,970710809
William Hootkins,9,187041016,1683369144
Angus MacInnes,13,186046338.5,2418602401
Jeremy Sinden,1,775398007,775398007
Graham Ashley,1,775398007,775398007
David Ankrum,2,915727640,1831455280
Mark Austin,1,775398007,775398007
Scott Beach,4,352242904,1408971616
Lightning Bear,2,656899003.5,1313798007
Jon Berg,1,775398007,775398007
Doug Beswick,1,775398007,775398007
Paul Blake,1,775398007,775398007
Janice Burchette,1,775398007,775398007
Ted Burnett,1,775398007,775398007
John Chapman,1,775398007,775398007
Gilda Cohen,1,775398007,775398007
Tim Condren,1,775398007,775398007
Barry Copping,1,775398007,775398007
Alfie Curtis,2,400704435.5,801408871
Robert Davies,1,775398007,775398007
Maria De Aragon,1,775398007,775398007
Robert A. Denham,1,775398007,775398007
Frazer Diamond,1,775398007,775398007
Peter Diamond,4,427405994.5,1709623978
Warwick Diamond,1,775398007,775398007
Sadie Eden,1,775398007,775398007
Kim Falkinburg,1,775398007,775398007
Harry Fielder,4,318659793,1274639172
Ted Gagliano,1,775398007,775398007
Salo Gardner,1,775398007,775398007
Steve Gawley,1,775398007,775398007
Barry Gnome,1,775398007,775398007
Rusty Goffe,3,707132669,2121398007
Isaac Grand,1,775398007,775398007
Nelson Hall,1,775398007,775398007
Reg Harding,2,582661989,1165323978
Alan Harris,2,656899003.5,1313798007
Frank Henson,1,775398007,775398007
Christine Hewett,1,775398007,775398007
Arthur Howell,1,775398007,775398007
Tommy Ilsley,1,775398007,775398007
Joe Johnston,1,775398007,775398007
Annette Jones,1,775398007,775398007
Linda Jones,1,775398007,775398007
Joe Kaye,1,775398007,775398007
Colin Michael Kitchens,1,775398007,775398007
Melissa Kurtz,1,775398007,775398007
Tiffany L. Kurtz,2,656899003.5,1313798007
Al Lampert,1,775398007,775398007
Anthony Lang,1,775398007,775398007
Laine Liska,1,775398007,775398007
Derek Lyons,4,335956790.5,1343827162
Mahjoub,1,775398007,775398007
Alf Mangan,2,427148386,854296772
Rick McCallum,2,387725305.5,775450611
Grant McCune,1,775398007,775398007
Geoffrey Moon,1,775398007,775398007
Mandy Morton,1,775398007,775398007
Lorne Peterson,1,775398007,775398007
Marcus Powell,4,211943613,847774452
Shane Rimmer,10,202871549.9,2028715499
Pam Rose,1,775398007,775398007
George Roubicek,3,335378893.3,1006136680
Erica Simmons,1,775398007,775398007
Angela Staines,1,775398007,775398007
George Stock,1,775398007,775398007
Roy Straite,1,775398007,775398007
Peter Sturgeon,1,775398007,775398007
Peter Sumner,1,775398007,775398007
John Sylla,1,775398007,775398007
Tom Sylla,1,775398007,775398007
Malcolm Tierney,4,292314543.3,1169258173
Phil Tippett,2,674049003.5,1348098007
Burnell Tucker,8,225047409.6,1800379277
Morgan Upton,1,775398007,775398007
Jerry Walter,1,775398007,775398007
Hal Wamsley,1,775398007,775398007
Larry Ward,2,674049003.5,1348098007
Diana Sadley Way,1,775398007,775398007
Harold Weed,1,775398007,775398007
Bill Weston,5,215626769.2,1078133846
Steve 'Spaz' Williams,1,775398007,775398007
Fred Wood,4,239511381.3,958045525
Colin Higgins,3,311366002.3,934098007
Albert Brooks,14,298475286,4178654004
Ellen DeGeneres,3,754454343.3,2263363030
Alexander Gould,3,679580413.3,2038741240
Willem Dafoe,47,162486796.2,7636879421
Brad Garrett,16,354785531.6,5676568506
Allison Janney,27,215928773.8,5830076893
Austin Pendleton,6,401424107.5,2408544645
Stephen Root,31,164675175.9,5104930454
Vicki Lewis,6,452489502.5,2714937015
Joe Ranft,8,490574428.4,3924595427
Geoffrey Rush,25,343578649.4,8589466235
Andrew Stanton,6,680168399.2,4081010395
Elizabeth Perkins,9,244232184.1,2198089657
Nicholas Bird,2,785888814,1571777628
Bob Peterson,8,757370402.8,6058963222
Barry Humphries,4,515791121.3,2063164485
Eric Bana,16,187558006,3000928096
Bruce Spence,15,281078342.2,4216175133
Bill Hunter,6,198461465.2,1190768791
LuLu Ebeling,1,940335536,940335536
Jordan Ranft,1,940335536,940335536
Erica Beck,1,940335536,940335536
Erik Per Sullivan,4,294751526.8,1179006107
John Ratzenberger,27,466234299,12588326073
Tom Hanks,41,238784680.2,9790171889
Robin Wright,19,165546534.3,3145384152
Gary Sinise,12,239935271,2879223252
Mykelti Williamson,19,113047509.3,2147902677
Sally Field,12,261921739,3143060868
Michael Conner Humphreys,1,677945399,677945399
Hanna Hall,3,256202894.7,768608684
Haley Joel Osment,7,261307966.1,1829155763
Siobhan Fallon,18,122547872.5,2205861705
Afemo Omilami,9,282753105.6,2544777950
Peter Dobson,3,240910602.3,722731807
Sonny Shroyer,2,361931084,723862168
George Kelly,3,369005168.3,1107015505
Sam Anderson,7,139642780,977499460
Margo Moorer,1,677945399,677945399
Christopher Jones,1,677945399,677945399
Kevin Mangan,1,677945399,677945399
Brett Rice,13,100308912.8,1304015867
Daniel C. Striepeke,1,677945399,677945399
David Brisbin,3,232702083.3,698106250
