,actors,number_of_movies,average_revenue,average_revenue (shifted)
0,Tim Roth,16,70590791.94,1129452671
1,Antonio Banderas,43,118085664.5,5077683575
2,Jennifer Beals,9,46357925.0,417221325
3,Madonna,14,71431837.43,1000045724
4,Marisa Tomei,18,146830338.5,2642946093
5,Bruce Willis,60,139293514.5,8357610868
6,Quentin Tarantino,12,101428662.4,1217143949
7,Sammi Davis,3,2307334.0,6922002
8,Amanda de Cadenet,1,4300000.0,4300000
9,Valeria Golino,8,103753351.1,830026809
10,Lili Taylor,13,117113619.7,1522477056
11,Lawrence Bender,3,76742920.67,230228762
12,Ione Skye,2,27375653.5,54751307
13,Alicia Witt,9,51193847.44,460744627
14,David Proval,10,27672134.8,276721348
15,Lana McKissack,1,4300000.0,4300000
16,Tamlyn Tomita,6,125635713.8,753814283
17,Kathy Griffin,7,158433670.1,1109035691
18,Paul Calderon,12,53351524.75,640218297
19,Salma Hayek,22,90631862.0,1993900964
20,Patricia Vonne,3,67480478.67,202441436
21,Danny Verduzco,1,4300000.0,4300000
22,Kimberly Blair,1,4300000.0,4300000
23,Marc Lawrence,6,55658671.17,333952027
24,Mark Hamill,10,442556099.5,4425560995
25,Harrison Ford,43,217703684.0,9361258410
26,Carrie Fisher,19,257931514.6,4900698778
27,Peter Cushing,2,397928173.5,795856347
28,Alec Guinness,10,419671303.2,4196713032
29,Anthony Daniels,11,727491795.1,8002409746
30,Kenny Baker,11,409075748.2,4499833230
31,Peter Mayhew,6,803453605.2,4820721631
32,David Prowse,4,478271751.8,1913087007
33,James Earl Jones,25,259021076.4,6475526910
34,Phil Brown,2,537808012.5,1075616025
35,Shelagh Fraser,1,775398007.0,775398007
36,Jack Purvis,5,387389342.2,1936946711
37,Eddie Byrne,2,394539003.5,789078007
38,Denis Lawson,3,628832669.0,1886498007
39,Garrick Hagon,5,288089020.0,1440445100
40,Don Henderson,4,199955282.5,799821130
41,Leslie Schofield,1,775398007.0,775398007
42,Richard LeParmentier,4,370790167.8,1483160671
43,Michael Leader,1,775398007.0,775398007
44,Alex McCrindle,2,388449003.5,776898007
